"OWIT_TEIL01 "^"LWIT_D_EING_TOR_FORECAST_BER"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG,OET_NR"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_I_D_EING_TOR_FORECAST_BEREICH_$SPOOLTIME.csv.gz"^"J"^"WITA_I_D_EING_TOR_FORECAST_BEREICH_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL01 "^"LWIT_D_PRODUKT_LSZ"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG,GUELTIG_AB"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_I_D_PRODUKT_LSZ_$SPOOLTIME.csv.gz"^"J"^"WITA_I_D_PRODUKT_LSZ_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL01 "^"LWIT_ZW_C6"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_ZW_C6_$SPOOLTIME.csv.gz"^"J"^"WITA_ZW_C6_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"OWIT_TEIL02 "^"LWIT_F_C12"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DECPT0x2c"^"D_TAB_BATCHLAUF_ID,ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"wita"^"scpim_fu "^"no_passwd "^"WITA_F_C12_$SPOOLTIME.csv.gz"^"J"^"WITA_F_C12_$SPOOLTIME.chk"^"RM_STD"^"J"^"OWIT"^"-2"^"SCP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"ATT_GK_KD_ERG_M "^"LETC_ATT_KUNDENLISTE"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^"LIEFERDATUM,ERMITTELT_IM_DWH_JN,BATCHLAUF_ID,ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"MARKETING_OUT_ALOM"^"vd_alom "^"no_passwd "^"KUNDENLISTE_${LIEFERDATUM}.TXT.GZ"^"N"^^^"J"^"ATT"^"-2"^"SFTP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"LSRS_TEAMBEZ_M "^"LSRS_PCON_ANDI_UNB_AUFGTR"^" "^"$WORK/pcon/out"^"¢"^"DEL "^"DECPLUSBLANK"^^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"/STD_REPORT/PCON"^"vd_srs1 "^"no_passwd "^"LSRS_PCON_ANDI_UNB_AUFGTR_MO_${VOR_MON_DAT}S${YYYY}${MM}${TT}${SS}${mm}.dat.gz"^"J"^"LSRS_PCON_ANDI_UNB_AUFGTR_MO_${VOR_MON_DAT}S${YYYY}${MM}${TT}${SS}${mm}.dat.chk"^"DWH_STD"^"J"^"STD_REPORT"^"-2"^"SFTP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"PQ_AUFTR_T "^"LSRS_NUTZUNGSGRAD_ANDI"^" "^"$WORK/pcon/out"^"¢"^"DEL "^"DECPLUSBLANK"^^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"/STD_REPORT/PCON"^"vd_srs1 "^"no_passwd "^"LSRS_NUTZUNGSGRAD_ANDI_TG_${VOR_MON_DAT}S${YYYY}${MM}${TT}${SS}${mm}.dat.gz"^"J"^"LSRS_NUTZUNGSGRAD_ANDI_TG_${VOR_MON_DAT}S${YYYY}${MM}${TT}${SS}${mm}.dat.chk"^"DWH_STD"^"J"^"STD_REPORT"^"-2"^"SFTP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"LSRS_KDS_EP_FEH "^"LSRS_CC_KDS_RUECKF_FEHLER_EPOS"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^"D_TAB_BATCHLAUF_ID,CRYPTOTICKET"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"/STD_REPORT/KDS"^"vd_srs1 "^"no_passwd "^"LSRS_CC_KDS_RUECKF_FEHLER_$KDS_FEHL_DATS${YYYY}${MM}${TT}S${YYYY}${MM}${TT}${SS}${mm}.dat.gz"^"J"^"LSRS_CC_KDS_RUECKF_FEHLER_$KDS_FEHL_DATS${YYYY}${MM}${TT}S${YYYY}${MM}${TT}${SS}${mm}.dat.chk"^"DWH_STD"^"J"^"EXT_CC"^^"SFTP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"LSRS_FN_TMD_M "^"LSRS_CM_BUSINESS_BUNDLE_PROD_TMD"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"/STD_REPORT/CM"^"vd_srs1 "^"no_passwd "^"LSRS_BBA-TMD_CM_${YYYY}${MM}${TT}S${YYYY}${MM}${TT}${SS}${mm}.dat.gz"^"J"^"LSRS_BBA-TMD_CM_${YYYY}${MM}${TT}S${YYYY}${MM}${TT}${SS}${mm}.dat.chk"^"DWH_STD"^"J"^"STD_REPORT"^"-2"^"SFTP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"LSRS_KMV "^"LSRS_CM_WITA_KMV_AUFTRAGSDATEN"^" "^"$TOP/output"^";"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"/STD_REPORT/KMV"^"vd_srs1 "^"no_passwd "^"LSRS_CM_WITA_KMV_AUFTRAGSDATEN_${curr_date}S${curr_timestamp}.dat.gz"^"J"^"LSRS_CM_WITA_KMV_AUFTRAGSDATEN_${curr_date}S${curr_timestamp}.dat.chk"^"RM_STD"^"J"^"CM"^"-2"^"SFTP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"LSRS_KMV "^"LSRS_CM_WITA_KMV_EV_GESAMTSTATUS"^" "^"$TOP/output"^";"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"/STD_REPORT/KMV"^"vd_srs1 "^"no_passwd "^"LSRS_CM_WITA_KMV_EV_GESAMTSTATUS_${curr_date}S${curr_timestamp}.dat.gz"^"J"^"LSRS_CM_WITA_KMV_EV_GESAMTSTATUS_${curr_date}S${curr_timestamp}.dat.chk"^"RM_STD"^"J"^"CM"^"-2"^"SFTP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"LSRS_KMV "^"LSRS_CM_WITA_KMV_MELDUNGEN"^" "^"$TOP/output"^";"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"Q4DE8PSAZDZ"^"/STD_REPORT/KMV"^"vd_srs1 "^"no_passwd "^"LSRS_CM_WITA_KMV_MELDUNGEN_${curr_date}S${curr_timestamp}.dat.gz"^"J"^"LSRS_CM_WITA_KMV_MELDUNGEN_${curr_date}S${curr_timestamp}.dat.chk"^"RM_STD"^"J"^"CM"^"-2"^"SFTP"^"NO"^"NO"^8010^"NO"^"N"^"NO"^"STD"^" "
"APP "^"OAPP_TSAM_SOW"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK"^"PERIODE"^"GZIP "^"J"^^^"J"^^^^^^^^"DWH_STD"^^"APP "^"-2"^"FTP"^"NO"^"NO"^22^"NO"^"N"^"NO"^"STD"^" "
"APP "^"OAPP_TSAM_SOW_NICHTZU"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK"^"PERIODE"^"GZIP "^"J"^^^"J"^^^^^^^^"DWH_STD"^^"APP "^"-2"^"FTP"^"NO"^"NO"^22^"NO"^"N"^"NO"^"STD"^" "
"APP "^"OAPP_TSAM_SOW_NICHTZU_REF"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK"^"PERIODE"^"GZIP "^"J"^^^"J"^^^^^^^^"DWH_STD"^^"APP "^"-2"^"FTP"^"NO"^"NO"^22^"NO"^"N"^"NO"^"STD"^" "
"BTL_Q_TEAM "^"LBTL_TEAM_QUALITAET"^" "^"$WORK/vvvc/out"^";"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^"BATCHLAUF_ID,ZEITBEZUG_LIEFERUNG"^^"J"^^^"N"^^^^^"LBTL_TEAM_QUALITAET_${JJJJMM}.txt"^^^^"J"^"BTL"^"-2"^"FTP"^"NO"^"NO"^22^"NO"^"N"^"NO"^"STD"^" "
"BTL_Q_TEAM "^"LBTL_LEITER_QUALITAET"^" "^"$WORK/vvvc/out"^";"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^"BATCHLAUF_ID,ZEITBEZUG_LIEFERUNG"^^"J"^^^"N"^^^^^"LBTL_LEITER_QUALITAET_${JJJJMM}.txt"^^^^"J"^"BTL"^"-2"^"FTP"^"NO"^"NO"^22^"NO"^"N"^"NO"^"STD"^" "
"BTL_Q_TEAM "^"LVAR_TEAM_QUALITAET_DETAIL"^" "^"$WORK/vvvc/out"^";"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^"BATCHLAUF_ID,ZEITBEZUG_LIEFERUNG"^^"J"^^^"N"^^^^^"LVAR_TEAM_QUALITAET_DETAIL_${JJJJMM}.txt"^^^^"J"^"var VG."^"-2"^"FTP"^"NO"^"NO"^22^"NO"^"N"^"NO"^"STD"^" "
"BTL_Q_TEAM "^"LVAR_LEITER_QUALITAET_DETAIL"^" "^"$WORK/vvvc/out"^";"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^"BATCHLAUF_ID,ZEITBEZUG_LIEFERUNG"^^"J"^^^"N"^^^^^"LVAR_LEITER_QUALITAET_DETAIL_${JJJJMM}.txt"^^^^"J"^"var VG."^"-2"^"FTP"^"NO"^"NO"^22^"NO"^"N"^"NO"^"STD"^" "
"OENR_VPNR_REF "^"LRM_VPNR_REF"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL"^"ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"10.104.17.39"^"in"^"dwh_scp "^"no_passwd "^"LRM_VPNR_REF_${date_JJJJMMTT}.dat.gz"^"J"^"LRM_VPNR_REF_${date_JJJJMMTT}.chk"^"RM_STD"^"J"^"RM "^"-2"^"SFTP"^"NO"^"NO"^22^"NO"^"N"^"NO"^"STD"^" "
"CSM_W "^"LCRM_SSC_KDNR_VORSCHLAG"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DATESISO"^"BATCHLAUF_ID,ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"10.169.69.212"^"/upload/SSC/data"^"crmtdwh "^"wird_nicht_gebraucht"^"OCSM_KDNR_VORSCHLAG_200811_DEL_${PARTNR}.dat.gz"^^^"DWH_STD"^"N"^"CRMT"^"-2"^"SFTP"^"NO"^"NO"^2222^"NO"^"N"^"NO"^"STD"^" "
"CSM_W "^"LCRM_SSC_REF_PRODUKT"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DATESISO"^"BATCHLAUF_ID,ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"10.169.69.212"^"/upload/SSC/data"^"crmtdwh "^"wird_nicht_gebraucht"^"OCSM_REF_P_VORSCHLAG_200811_DEL_${PARTNR}.dat.gz"^^^"DWH_STD"^"J"^"CRMT"^"-2"^"SFTP"^"NO"^"NO"^2222^"NO"^"N"^"NO"^"STD"^" "
"CSM_W "^"LCRM_SSC_REF_HANDLUNG"^" "^"$TOP/output"^"|"^"DEL "^"DECPLUSBLANK#NOCHARDEL#DATESISO"^"BATCHLAUF_ID,ZEITBEZUG_LIEFERUNG"^"GZIP "^"J"^^^"N"^"10.169.69.212"^"/upload/SSC/data"^"crmtdwh "^"wird_nicht_gebraucht"^"OCSM_REF_HANDLUNG_200811_DEL_${PARTNR}.dat.gz"^^^"DWH_STD"^"J"^"CRMT"^"-2"^"SFTP"^"NO"^"NO"^2222^"NO"^"N"^"NO"^"STD"^" "
